PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,DZD/XDR,ARS/XDR,AUD/XDR,ATS/XDR,BSD/XDR,BHD/XDR,BBD/XDR,BEF/XDR,BMD/XDR,BRL/XDR
2458956,2020/4/16,Thu,,89.47,2.1629,17.285,,,,50.674,,7.1539
2458957,2020/4/17,Fri,,89.946,2.1466,17.274,,,,50.639,,7.1675
2458960,2020/4/20,Mon,,90.298,2.1419,17.272,,,,50.635,,7.2236
2458961,2020/4/21,Tue,,89.951,2.1669,17.267,,,,50.621,,7.2407
2458962,2020/4/22,Wed,,90.24,2.1548,17.292,,,,50.693,,7.3356
2458963,2020/4/23,Thu,,90.366,2.1327,17.341,,,,50.838,,7.4346
2458964,2020/4/24,Fri,,90.327,2.1339,17.338,,,,50.829,,7.7147
2458967,2020/4/27,Mon,,90.76,2.1097,17.307,,,,50.738,,7.7164
2458968,2020/4/28,Tue,,90.759,2.0994,17.308,,,,50.74,,7.5663
2458969,2020/4/29,Wed,,91.041,2.0889,17.293,,,,50.697,,7.3836
2458970,2020/4/30,Thu,,91.422,2.097,17.243,,,,50.551,,7.4277
2458971,2020/5/1,Fri,,90.988,2.1319,17.165,,,,50.321,,7.521
2458974,2020/5/4,Mon,,91.255,2.1307,17.234,,,,50.523,,7.6091
2458975,2020/5/5,Tue,,91.452,2.1153,17.31,,,,50.745,,7.582
2458976,2020/5/6,Wed,,91.217,2.1198,17.342,,,,50.84,,7.7289
2458977,2020/5/7,Thu,,91.75,2.1032,17.344,,,,50.847,,7.9388
2458978,2020/5/8,Fri,,91.766,2.0894,17.309,,,,50.743,,7.8599
2458981,2020/5/11,Mon,,91.586,2.0989,17.31,,,,50.748,,7.8982
2458982,2020/5/12,Tue,,91.997,2.095,17.268,,,,50.622,,7.9058
2458983,2020/5/13,Wed,,91.796,2.1053,17.285,,,,50.674,,8.0415
2458984,2020/5/14,Thu,,91.887,2.1146,17.329,,,,50.801,,8.0291
2458985,2020/5/15,Fri,,92.016,2.1169,17.291,,,,50.69,,7.9207
2458989,2020/5/19,Tue,,92.702,2.0807,17.164,,,,50.32,,7.8102
2458990,2020/5/20,Wed,,92.929,2.0729,17.125,,,,50.203,,7.7897
2458991,2020/5/21,Thu,,92.837,2.0774,17.131,,,,50.222,,7.6373
2458992,2020/5/22,Fri,,92.566,2.0866,17.197,,,,50.415,,7.5951
2458995,2020/5/25,Mon,,92.934,2.0808,17.195,,,,50.408,,7.4505
2458996,2020/5/26,Tue,,93.177,2.0545,17.126,,,,50.207,,7.3331
2458997,2020/5/27,Wed,,93.275,2.0677,17.093,,,,50.11,,7.2353
2458998,2020/5/28,Thu,,93.664,2.0581,17.031,,,,49.928,,7.306
2458999,2020/5/29,Fri,,93.838,2.0629,16.987,,,,49.798,,7.4107
2459002,2020/6/1,Mon,,94.356,2.0276,16.983,,,,49.788,,7.376
2459003,2020/6/2,Tue,,94.546,2.0003,16.937,,,,49.653,,7.2127
2459004,2020/6/3,Wed,,94.836,1.9893,16.88,,,,49.484,,6.9864
2459005,2020/6/4,Thu,,95.031,1.9904,16.793,,,,49.23,,7.0469
2459006,2020/6/5,Fri,,95.383,1.9799,16.813,,,,49.289,,6.8743
2459009,2020/6/8,Mon,,95.304,1.9749,16.83,,,,49.34,,6.782
2459010,2020/6/9,Tue,,95.658,1.9896,16.804,,,,49.261,,6.779
2459011,2020/6/10,Wed,,96.06,1.9783,16.784,,,,49.205,,6.795
2459012,2020/6/11,Thu,,95.855,2.0129,16.795,,,,49.236,,6.8956
2459013,2020/6/12,Fri,,95.75,2.0138,16.867,,,,49.446,,6.9706
2459016,2020/6/15,Mon,,95.457,2.0109,16.844,,,,49.381,,7.1355
2459017,2020/6/16,Tue,,96.124,2.0018,16.864,,,,49.438,,7.1143
2459018,2020/6/17,Wed,,96.058,1.9992,16.898,,,,49.539,,7.2319
2459019,2020/6/18,Thu,,96.13,2.011,16.908,,,,49.569,,7.3717
2459020,2020/6/19,Fri,,96.088,2.0065,16.916,,,,49.593,,7.3497
2459023,2020/6/22,Mon,,96.566,1.9985,16.878,,,,49.48,,7.2322
2459024,2020/6/23,Tue,,96.971,1.9908,16.818,,,,49.303,,7.1468
2459025,2020/6/24,Wed,,96.695,2.0046,16.855,,,,49.413,,7.2773
2459026,2020/6/25,Thu,,96.577,2.005,16.9,,,,49.543,,7.3554
2459027,2020/6/26,Fri,,96.602,2.0068,16.891,,,,49.518,,7.5104
2459030,2020/6/29,Mon,,96.919,2.0087,16.851,,,,49.4,,7.4902
2459031,2020/6/30,Tue,,97.131,2.0006,16.875,,,,49.471,,7.5168
2459033,2020/7/2,Thu,,97.29,1.9919,16.876,,,,49.472,,7.3367
2459034,2020/7/3,Fri,,97.338,1.9869,16.883,,,,49.493,,7.3503
2459037,2020/7/6,Mon,,97.936,1.9827,16.819,,,,49.306,,7.3576
2459038,2020/7/7,Tue,,98.018,1.9865,16.851,,,,49.401,,7.3974
2459039,2020/7/8,Wed,,98.203,1.9873,16.825,,,,49.323,,7.4184
2459040,2020/7/9,Thu,,98.056,1.9875,16.852,,,,49.403,,7.3701
2459041,2020/7/10,Fri,,98.178,1.9922,16.858,,,,49.422,,7.3975
2459044,2020/7/13,Mon,,98.736,1.9878,16.798,,,,49.247,,7.4255
2459045,2020/7/14,Tue,,98.928,1.9917,16.751,,,,49.108,,7.4792
2459046,2020/7/15,Wed,,99.207,1.9817,16.743,,,,49.085,,7.4378
2459047,2020/7/16,Thu,,99.209,1.9868,16.745,,,,49.09,,7.4108
2459048,2020/7/17,Fri,,99.298,1.987,16.718,,,,49.012,,7.4443
2459051,2020/7/20,Mon,,99.682,1.9842,16.726,,,,49.034,,7.4382
2459052,2020/7/21,Tue,,99.975,1.959,16.685,,,,48.913,,7.262
2459053,2020/7/22,Wed,,100.282,1.9533,16.59,,,,48.636,,7.1375
2459054,2020/7/23,Thu,,100.501,1.9636,16.578,,,,48.6,,7.2277
2459055,2020/7/24,Fri,,100.621,1.9731,16.559,,,,48.543,,7.2827
2459058,2020/7/27,Mon,,101.281,1.9697,16.461,,,,48.257,,7.2817
2459059,2020/7/28,Tue,,101.417,1.9644,16.494,,,,48.353,,7.2632
2459060,2020/7/29,Wed,,101.502,1.9619,16.462,,,,48.259,,7.2502
2459061,2020/7/30,Thu,,101.829,1.9706,16.436,,,,48.185,,7.2906
2459062,2020/7/31,Fri,,102.221,1.9704,16.434,,,,48.179,,7.3399
2459066,2020/8/4,Tue,,102.306,1.9704,16.466,,,,48.272,,7.4913
2459067,2020/8/5,Wed,,102.79,1.9607,16.384,,,,48.032,,7.4749
2459068,2020/8/6,Thu,,102.689,1.9577,16.398,,,,48.073,,7.5567
2459069,2020/8/7,Fri,,102.481,1.9653,16.45,,,,48.226,,7.6334
2459072,2020/8/10,Mon,,102.705,1.9667,16.479,,,,48.311,,7.6251
2459073,2020/8/11,Tue,,102.755,1.9662,16.468,,,,48.279,,7.6245
2459074,2020/8/12,Wed,,102.871,1.9666,16.438,,,,48.191,,7.6915
2459075,2020/8/13,Thu,,103.046,1.9693,16.408,,,,48.103,,7.5816
2459076,2020/8/14,Fri,,103.161,1.9687,16.407,,,,48.098,,7.6267
2459079,2020/8/17,Mon,,103.268,1.9603,16.385,,,,48.034,,7.7267
2459080,2020/8/18,Tue,,103.785,1.9578,16.344,,,,47.915,,7.7564
2459081,2020/8/19,Wed,,104.1,1.957,16.372,,,,47.998,,7.7806
2459082,2020/8/20,Thu,,104.01,1.9707,16.415,,,,48.122,,7.9357
2459083,2020/8/21,Fri,,103.762,1.9705,16.472,,,,48.29,,7.902
2459086,2020/8/24,Mon,,103.94,1.9667,16.44,,,,48.195,,7.8935
2459087,2020/8/25,Tue,,104.186,1.9659,16.431,,,,48.168,,7.8719
2459088,2020/8/26,Wed,,104.478,1.9558,16.451,,,,48.229,,7.8846
2459089,2020/8/27,Thu,,104.624,1.9478,16.449,,,,48.222,,7.8873
2459090,2020/8/28,Fri,,104.948,1.9302,16.408,,,,48.101,,7.729
2459093,2020/8/31,Mon,,105.379,1.9241,16.364,,,,47.973,,7.7651
2459094,2020/9/1,Tue,,105.591,1.9268,16.372,,,,47.995,,7.6373
2459095,2020/9/2,Wed,,105.195,1.9337,16.455,,,,48.239,,7.6004
2459096,2020/9/3,Thu,,105.209,1.9435,16.448,,,,48.219,,7.5037
2459097,2020/9/4,Fri,,105.124,1.9456,16.457,,,,48.244,,7.4912
2459101,2020/9/8,Tue,,105.41,1.9512,16.472,,,,48.29,,7.5616
2459102,2020/9/9,Wed,,105.631,1.9414,16.452,,,,48.231,,7.4796
2459103,2020/9/10,Thu,,105.826,1.9396,16.386,,,,48.038,,7.4867
2459104,2020/9/11,Fri,,105.737,1.9383,16.402,,,,48.084,,7.4856
2459107,2020/9/14,Mon,,106.281,1.9397,16.391,,,,48.052,,7.4825
